Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Provincial Schools,947202,Robarts Provincial School for the Deaf,English,1515 Cheapside,London,N5V3N9,NA,43.012769372,-81.20868173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Provincial Schools,947229,Robarts/Amethyst Demonstration Secondary School,English,1515 Cheapside,London,N5V3N9,18,43.012769372,-81.20868173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Provincial Schools,941840,Sir James Whitney School for the Deaf,English,350 Dundas,Belleville,K8P1B2,27,44.150891405,-77.405027167,NA,NA,NA,NA,N/R,NA,N/R,N/R,NA,NA,NA
Provincial Schools,941859,Sir James Whitney/Sagonaska Secondary School,English,350 Dundas,Belleville,K8P1B2,12,44.150891405,-77.405027167,NA,NA,NA,NA,N/R,NA,N/R,NA,NA,NA,NA
Provincial Schools,932310,W Ross Macdonald Deaf Blind Secondary School,English,350 Brant,Brantford,N3T3J9,14,43.263854832,-80.299277489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Provincial Schools,932302,W Ross Macdonald Provincial Secondary School,English,350 Brant,Brantford,N3T3J9,91,43.263854832,-80.299277489,NA,NA,NA,NA,N/R,NA,N/R,N/R,NA,NA,NA
Rainbow DSB,911609,Adult Day School,English,154 College,Sudbury,P3C4Y2,73,46.49718,-80.999,SP,SP,NA,NA,NA,NA,NA,NA,NA,30.9,SP
Rainbow DSB,941542,Barrydowne College Senior,English,1400 Barrydowne,Sudbury,P3A3V8,183,46.52819,-80.94144,SP,NA,25.7,NA,NA,NA,NA,N/D,NA,24.64,SP
Rainbow DSB,901121,Chelmsford Valley District Composite School,English,3594,Chelmsford,P0M1L0,219,46.5699,-81.19392,SP,SP,23.3,NA,0.68,NA,0.18,0.54,-8,15.14,SP
Rainbow DSB,895237,Confederation Secondary School,English,1918 Main,Val Caron,P3N1B4,592,46.6117,-81.02007,SP,NA,22.1,NA,0.71,NA,0.42,0.58,-15,12.21,4.01
Rainbow DSB,909319,Espanola High School,English,147 Spruce,Espanola,P5E1R7,526,46.26322,-81.77023,SP,SP,32.3,NA,0.66,NA,0.27,0.73,1,23.69,SP
Rainbow DSB,920622,Lasalle Secondary School,English,1545 Kennedy,Sudbury,P3A2G1,724,46.52464,-80.93934,1.7,SP,31.2,NA,0.88,NA,0.29,0.76,3,20.94,5.49
Rainbow DSB,923354,Lively District Secondary School,English,265 Fifth,Lively,P3Y1M4,293,46.43686,-81.14184,SP,NA,31.7,NA,0.79,NA,0.32,0.75,1,9.89,13.38
Rainbow DSB,923613,Lockerby Composite School,English,1391 Ramsey View,Sudbury,P3E5T4,737,46.46535,-81.00535,1.9,1.5,9.8,SP,0.77,NA,0.4,0.95,4,17.25,12.07
Rainbow DSB,923486,Lo-Ellen Park Secondary School,English,275 Loach's,Sudbury,P3E2P8,598,46.44913,-80.98797,3.8,SP,17.6,SP,0.79,NA,0.21,0.85,0,14.97,21.99
Rainbow DSB,924598,M W Moore Secondary School,English,Hwy,Shining Tree,P0M2X0,NA,47.55,-81.266667,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP,SP
Rainbow DSB,924679,Manitoulin Secondary School,English,107 Bay,M'Chigeeng,P0P1G0,450,45.83232,-82.16211,SP,NA,26,NA,0.75,NA,0.27,0.66,-1,22.42,2.83
Rainbow DSB,902935,N'Swakamok Native Alternative School,English,110 Elm,Sudbury,P3C1T6,39,46.49376439,-80.99905036,NA,NA,NA,NA,N/D,NA,N/D,N/D,NA,35.24,SP
Rainbow DSB,941298,Sudbury Secondary School,English,154 College,Sudbury,P3C4Y2,612,46.49711,-80.99864,SP,SP,25,SP,0.64,NA,0.5,0.74,12,28.3,4.18
Rainy River DSB,892939,Atikokan High School,English,324 Mercury,Atikokan,P0T1C0,153,48.76249,-91.61241,NA,SP,22.2,NA,0.94,4,0.45,0.76,-10,15.61,SP
Rainy River DSB,910872,Fort Frances High School,English,440 McIrvine,Fort Frances,P9A3T8,810,48.60954,-93.42449,4.7,NA,22.8,NA,0.8,-14,0.39,0.62,-12,20.7,4.04
Rainy River DSB,937657,Rainy River High School,English,1 Mill,Rainy River,P0W1L0,176,48.7191,-94.5637,SP,SP,24.4,NA,0.9,10,0.08,0.77,2,25.75,9.93
Renfrew County CDSB,689939,Bishop Smith Catholic High School,English,362 Carmody,Pembroke,K8A4G2,591,45.81199,-77.10916,SP,NA,26.2,NA,0.86,8,0.63,0.85,0,16.07,2.36
Renfrew County CDSB,814962,St Joseph's High School,English,835 First,Renfrew,K7V4E1,439,45.46486,-76.67097,SP,SP,30.1,SP,0.99,-1,0.98,0.9,2,19.05,3.46
Renfrew County DSB,892416,Arnprior District High School,English,59 Ottawa,Arnprior,K7S1X2,663,45.43902,-76.35389,2,SP,15.8,SP,0.84,-2,0.55,0.87,3,16.16,6.49
Renfrew County DSB,925365,Fellowes High School,English,420 Bell,Pembroke,K8A2K5,797,45.81517,-77.09348,SP,NA,18.9,SP,0.66,5,0.16,0.72,-4,15.69,1.78
Renfrew County DSB,904767,Mackenzie Community School - Secondary School,English,87 Brockhouse,Deep River,K0J1P0,256,46.10603,-77.48857,9.4,SP,13.7,NA,0.89,3,0.44,0.84,-4,10.58,11.88
Renfrew County DSB,924431,Madawaska Valley District High School,English,341 John,Barry's Bay,K0J1B0,394,45.48100601,-77.67323989,SP,NA,15,NA,0.61,-19,0.32,0.68,4,19.17,SP
Renfrew County DSB,932434,Opeongo High School,English,1990 Lot Conc Bromley Twp,Douglas,K0J1S0,368,45.5613,-76.9919,SP,NA,15.5,SP,0.91,31,0.42,0.74,-5,18.07,SP
Renfrew County DSB,937916,Renfrew Collegiate Institute,English,184 Bonnechere,Renfrew,K7V1Z5,394,45.47041,-76.68652,SP,NA,18.8,NA,0.83,15,0.63,0.63,-7,19.63,SP
Renfrew County DSB,937983,Renfrew County Adult Day School,English,480 Mary,Pembroke,K8A5W9,164,45.8219,-77.1255,NA,NA,NA,NA,NA,NA,NA,N/D,NA,21.14,SP
Renfrew County DSB,902747,Valour JK to 12 School - Secondary School,English,19 Leeder Lane,Petawawa,K8H0B8,441,45.89509,-77.25698,SP,SP,17.9,SP,0.83,-4,0.51,0.8,3,11.81,8.09
Simcoe County DSB,941174,Alliston Campus,English,46 Wellington,Alliston,L9R2B8,38,44.15267,-79.87135,SP,NA,SP,NA,NA,NA,NA,N/D,NA,SP,SP
Simcoe County DSB,893064,Banting Memorial District High School,English,203 Victoria,Alliston,L9R1G5,1534,44.15543,-79.85988,1.7,SP,27.4,1.6,0.82,8,0.59,0.88,6,13.26,4.71
Simcoe County DSB,950519,Barrie Campus,English,320 Bayfield,Barrie,L4M3C1,86,44.40096,-79.70025,SP,NA,NA,NA,NA,NA,NA,N/D,NA,23.92,SP
Simcoe County DSB,893323,Barrie North Collegiate Institute,English,110 Grove,Barrie,L4M2P3,944,44.40051,-79.68885,3.8,SP,26.5,4.1,0.81,1,0.42,0.77,-7,22.72,7.87
Simcoe County DSB,894060,Bear Creek Secondary School,English,100 Red Oak,Barrie,L4N9M5,1506,44.33173,-79.73371,4.2,0.7,24.6,2,0.81,-2,0.51,0.79,-1,14.14,9.48
Simcoe County DSB,899701,Bradford Campus,English,157 Holland,BRADFORD,L3Z2B7,18,44.11578,-79.55911,SP,SP,NA,NA,NA,NA,NA,N/D,NA,SP,SP
Simcoe County DSB,895792,Bradford District High School,English,70 Professor Day,Bradford,L3Z2A3,1093,44.11248,-79.58019,11.3,1.6,29.2,1.7,0.84,-9,0.52,0.84,3,13.64,3.97
Simcoe County DSB,902915,Collingwood Campus,English,180 Ontario,Collingwood,L9Y1M6,23,44.50062,-80.2114,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP
Simcoe County DSB,902551,Collingwood Collegiate Institute,English,6 Cameron,Collingwood,L9Y2J2,1320,44.48727,-80.21498,2.7,SP,27.7,2.3,0.77,5,0.37,0.87,4,21.82,12.12
Simcoe County DSB,907383,Eastview Secondary School,English,421 Grove,Barrie,L4M5S1,1428,44.40571,-79.66101,4,1,25.6,1.7,0.89,2,0.53,0.88,5,19.47,8.99
Simcoe County DSB,908274,Elmvale District High School,English,25 Lawson,Elmvale,L0L1P0,401,44.57957,-79.86481,3.7,SP,22.4,SP,0.51,-28,0.36,0.93,24,15.52,3.53
Simcoe County DSB,928151,Georgian Bay District Secondary School,English,865 Hugel,Midland,L4R1X9,NA,44.7420644,-79.9013503,NA,NA,NA,NA,N/R,NA,0.18,0.73,NA,NA,NA
Simcoe County DSB,918253,Innisdale Secondary School,English,95 Little,Barrie,L4N2Z4,1579,44.36064,-79.68367,5.6,0.8,24.3,2.3,0.68,-14,0.2,0.89,4,16.33,10.19
Simcoe County DSB,927724,Nantyr Shores Secondary School,English,1146 Anna Maria,Innisfil,L9S1W2,1179,44.30515,-79.55523,3,SP,27.7,1.3,0.73,5,0.42,0.89,10,15.48,3.73
Simcoe County DSB,931727,North Simcoe Campus,English,51 Dunlop,Penetanguishene,L9M1J3,NA,44.73487487,-79.87261546,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP
Simcoe County DSB,902636,Nottawasaga Pines Secondary School,English,8505 County Road,Angus,L0M1B1,695,44.31267,-79.88419,2.4,NA,27.6,SP,0.82,11,0.57,0.74,-7,13.45,SP
Simcoe County DSB,902276,Orillia Campus,English,575 WEST,ORILLIA,L3V7N6,61,44.60747,-79.41911,SP,NA,NA,NA,NA,NA,NA,N/D,NA,27.09,SP
Simcoe County DSB,968729,Orillia Secondary School,English,250 Collegiate,Orillia,L3V7S5,1063,44.61232,-79.43422,1.5,SP,26.5,1.3,0.79,NA,0.48,0.76,NA,18.58,4.62
Simcoe County DSB,917231,Simcoe Alternative Secondary School,English,1170 Hwy,Midhurst,L0L1X0,306,44.38294,-79.69399,SP,NA,37.6,SP,NA,NA,NA,0.18,-44,22.62,SP
Simcoe County DSB,945196,Stayner Collegiate Institute,English,7578 Hwy,Stayner,L0M1S0,331,44.42695,-80.09696,SP,NA,24.2,SP,0.84,33,0.17,0.79,5,14.82,SP
Simcoe County DSB,948870,Twin Lakes Secondary School,English,381 Birch,Orillia,L3V2P5,852,44.59354,-79.43391,1.4,SP,31.7,2.6,0.73,-4,0.39,0.73,-2,24.04,2
Simcoe Muskoka CDSB,711098,Holy Trinity High School,English,100 Melbourne,Bradford,L3Z2B3,634,44.1077,-79.5789,6.5,3.2,18.9,SP,0.77,7,0.23,0.77,-5,13.36,6.03
Simcoe Muskoka CDSB,723630,Jean Vanier Catholic High School,English,160 Collins,Collingwood,L9Y4R1,515,44.4898,-80.2073,SP,SP,26.2,SP,0.73,-9,0.43,0.73,-6,19.32,12.55
Simcoe Muskoka CDSB,751103,Patrick Fogarty Secondary School,English,15 Commerce,Orillia,L3V6S1,743,44.62628,-79.43166,SP,SP,19.9,NA,0.79,-1,0.64,0.79,-3,20.74,5.08
Simcoe Muskoka CDSB,786691,St Dominic Catholic Secondary School,English,955 Cedar,Bracebridge,P1L0A1,194,45.048,-79.2958,SP,SP,43.3,NA,0.88,2,0.35,0.72,14,19.17,6.65
Simcoe Muskoka CDSB,801275,St Joan of Arc High School,English,460 Mapleton,Barrie,L4N9C2,1182,44.3498,-79.7334,3.3,1,21.2,1.1,0.82,8,0.33,0.75,-5,15.14,10.25
Simcoe Muskoka CDSB,813389,St Joseph's Separate School,English,243 Cundles,Barrie,L4M6L1,711,44.41307,-79.68387,1.5,SP,22.6,SP,0.65,-7,0.39,0.8,4,20.93,9.67
Simcoe Muskoka CDSB,844012,St Peter's Secondary School,English,201 Ashford,Barrie,L4N6A3,1112,44.3549,-79.6398,2.5,SP,18.4,SP,0.71,10,0.36,0.77,-7,15.63,10.07
Simcoe Muskoka CDSB,852775,St Theresa's Separate School,English,347 Galloway,Midland,L4R5B2,1031,44.7397,-79.8707,SP,SP,26,SP,0.73,3,0.48,0.78,3,20.82,2.14
Simcoe Muskoka CDSB,773050,St Thomas Aquinas Catholic Secondary School,English,2 Nolan,Tottenham,L0G1W0,636,44.0351,-79.80868,SP,SP,28.5,SP,0.85,-3,0.33,0.76,-6,13.35,4.69
St Clair CDSB,836788,St Patrick's Catholic Secondary School,English,1001 The Rapids,Sarnia,N7S6K2,1285,42.9949,-82.3515,SP,0.8,25,SP,0.77,-8,0.58,0.86,-3,16.26,7.33
St Clair CDSB,864366,Ursuline College (The Pines) Catholic Secondary School,English,85 Grand,Chatham,N7L1B6,1259,42.40662,-82.19408,1.4,SP,27.6,SP,0.74,-13,0.57,0.81,-4,19.05,4.21
Sudbury CDSB,689351,Bishop Alexander Carter Catholic Secondary School,English,539 Francis,Hanmer,P3P1E6,321,46.65692,-80.9674,SP,NA,17.4,NA,0.94,26,0.39,0.66,-18,11.74,SP
Sudbury CDSB,730963,Marymount Academy Catholic School,English,165 D'Youville,Sudbury,P3C5E7,247,46.49652,-80.9948,SP,SP,5.3,SP,0.93,1,N/R,0.92,5,17.03,9.28
Sudbury CDSB,777196,St Benedict Catholic Secondary School,English,2993 Algonquin,Sudbury,P3E4X5,555,46.43514,-80.98446,SP,SP,20.4,SP,0.97,3,0.58,0.85,-4,16.16,17.02
Sudbury CDSB,783358,St Charles College,English,1940 Hawthorne,Sudbury,P3A1M8,825,46.51773,-80.92679,1.3,SP,24.6,SP,0.74,4,0.48,0.87,2,20.27,4.79
Superior-Greenstone DSB,912565,Geraldton Composite School,English,500 Second,Geraldton,P0T1M0,212,49.72188,-86.95383,SP,NA,43.9,NA,1,0,0.48,0.42,-25,33.86,SP
Superior-Greenstone DSB,940666,Lake Superior High School,English,19 Hudson,Terrace Bay,P0T2W0,95,48.78578,-87.10166,SP,SP,27.4,NA,0.46,-4,0.42,0.85,12,12.5,SP
Superior-Greenstone DSB,924652,Manitouwadge High School,English,200 Manitou,Manitouwadge,P0T2C0,92,49.11746,-85.84194,SP,NA,27.2,NA,0.18,-64,N/R,0.59,-10,20.56,SP
Superior-Greenstone DSB,924784,Marathon High School,English,14 Hemlo,Marathon,P0T2E0,188,48.71794,-86.37198,NA,NA,32.4,SP,0.6,NA,0.38,0.63,-3,20.01,SP
Superior-Greenstone DSB,929336,Nipigon Red Rock District High School,English,20 Frost,Red Rock,P0T2P0,182,48.93779,-88.26017,SP,SP,28.6,SP,0.71,23,0.67,0.55,-9,26.13,SP
Thames Valley DSB,890073,A B Lucas Secondary School,English,656 Tennent,London,N5X1L8,1460,43.03296,-81.24696,23.3,2.7,13.8,3.4,0.87,8,0.35,0.84,-8,16.3,23.73
Thames Valley DSB,892670,Arthur Voaden Secondary School,English,41 Flora,St Thomas,N5P2X5,482,42.78053,-81.18827,SP,SP,39.6,SP,0.5,-14,0.31,0.41,-21,23.42,SP
Thames Valley DSB,947148,B Davison Secondary School Secondary School,English,785 Trafalgar,London,N5Z1E6,238,42.97768,-81.21986,SP,NA,86.1,NA,NA,NA,NA,N/R,NA,31.93,SP
Thames Valley DSB,899305,Central Elgin Collegiate Institute,English,201 Chestnut,St Thomas,N5R2B5,588,42.76986,-81.17411,2.7,SP,15,2.2,0.86,9,0.52,0.88,3,17.39,4.8
Thames Valley DSB,901644,Clarke Road Secondary School,English,300 Clarke,London,N5W5N4,1172,42.9998,-81.17189,3.9,SP,24.4,SP,0.79,-2,0.34,0.6,0,23.96,1.01
Thames Valley DSB,902420,College Avenue Secondary School,English,700 College,Woodstock,N4S2C8,825,43.12406,-80.74527,2.2,NA,22.5,SP,0.75,-4,0.38,0.6,-7,17.27,3.15
Thames Valley DSB,906581,East Elgin Secondary School,English,362 Talbot,Aylmer,N5H1K6,1310,42.77275,-80.99164,22.7,1.6,16,SP,0.71,-7,0.4,0.59,-6,16.75,0.8
Thames Valley DSB,911259,G A Wheable Secondary School,English,70 Jacqueline,London,N5Z3P7,68,42.97174,-81.21976,16.2,NA,NA,NA,NA,NA,NA,N/D,NA,27.86,SP
Thames Valley DSB,912824,Glencoe District High School,English,3581 Concession,Glencoe,N0L1M0,196,42.74404,-81.71129,NA,NA,30.6,SP,0.87,19,0.35,0.59,-26,16.72,SP
Thames Valley DSB,912956,Glendale High School,English,37 Glendale,Tillsonburg,N4G1J6,851,42.86713,-80.74164,3.3,NA,16.7,1.2,0.79,-14,0.46,0.72,2,16.34,11.49
Thames Valley DSB,914908,H B Beal Secondary School,English,525 Dundas,London,N6B1W5,1902,42.98728,-81.23471,16.5,6.6,20.7,0.8,0.74,6,0.27,0.65,-8,27.75,7.41
Thames Valley DSB,918024,Huron Park Secondary School,English,900 Cromwell,Woodstock,N4S5B5,768,43.13965,-80.73872,2,SP,18,1.6,0.8,1,0.56,0.74,-4,12.55,3.84
Thames Valley DSB,918156,Ingersoll District Collegiate Institute,English,37 Alma,Ingersoll,N5C1N1,827,43.04539,-80.88844,SP,NA,22.5,SP,0.88,6,0.45,0.66,1,13.24,5.68
Thames Valley DSB,923745,London Central Secondary School,English,509 Waterloo,London,N6B2P8,991,42.98874,-81.24468,27,2,21.2,9.4,0.92,-2,0.47,0.98,0,21.53,12.38
Thames Valley DSB,923877,London South Collegiate Institute,English,371 Tecumseh,London,N6C1T4,653,42.96922,-81.243,8.6,SP,18.2,3.8,0.79,6,0.42,0.74,-2,21.88,8.56
Thames Valley DSB,904503,Lord Dorchester Secondary School,English,61 Queen,Dorchester,N0L1G0,477,42.98697,-81.06194,SP,NA,15.9,SP,0.94,2,0.68,0.81,-4,10.67,SP
Thames Valley DSB,925560,Medway High School,English,14405 Medway,Arva,N0M1C0,1117,43.05116,-81.28909,3.8,SP,22.2,3.7,0.86,-3,0.43,0.8,-7,8.93,17.52
Thames Valley DSB,927430,Montcalm Secondary School,English,1350 Highbury,London,N5Y1B5,767,43.02464,-81.21656,26.3,11,26.3,SP,0.58,-12,0.33,0.46,-13,34.69,1.97
Thames Valley DSB,930113,North Middlesex District High School,English,100 Main,Parkhill,N0M2K0,190,43.15368,-81.68604,SP,NA,20,SP,0.93,39,0.7,0.68,-10,10.37,SP
Thames Valley DSB,931934,Oakridge Secondary School,English,1040 Oxford,London,N6H1V4,1016,42.97654,-81.314,19.5,2.7,14,4.2,0.81,7,0.47,0.89,-5,16.7,25.08
Thames Valley DSB,944939,Parkside Collegiate Institute,English,241 Sunset,St Thomas,N5R3C2,931,42.75588,-81.19253,SP,NA,17.1,SP,0.87,-1,0.41,0.72,-6,16.78,5.17
Thames Valley DSB,940437,Saunders Secondary School,English,941 Viscount,London,N6K1H5,1558,42.94598,-81.29135,16.7,1.9,22.8,1,0.82,-3,0.39,0.65,-9,21.44,12.18
Thames Valley DSB,941743,Sir Frederick Banting Secondary School,English,125 Sherwood Forest,London,N6G2C3,1346,43.00223,-81.30486,19.2,2.3,22.4,2,0.82,4,0.25,0.83,-4,23.49,19.81
Thames Valley DSB,942162,Sir Wilfrid Laurier Secondary School,English,450 Millbank,London,N6C4W7,1081,42.94659,-81.20609,14.5,SP,18.2,1.5,0.62,-11,0.37,0.74,-3,22.12,5.67
Thames Valley DSB,945846,Strathroy District Collegiate Institute,English,361 Second,Strathroy,N7G4J8,1144,42.98083,-81.60757,SP,NA,25.5,1,0.93,3,0.7,0.68,-10,15.55,7.01
Thames Valley DSB,947237,Thames Valley Alternative Secondary School,English,70 Jacqueline,London,N5Z3P7,226,42.99683,-81.20719,5.8,NA,SP,NA,N/R,NA,N/R,N/R,NA,27.13,SP
Thames Valley DSB,951439,West Elgin Secondary School,English,139 Graham,West Lorne,N0L2P0,337,42.60049,-81.60189,SP,SP,22.6,SP,0.84,4,0.61,0.63,2,14.37,SP
Thames Valley DSB,952346,Westminster Secondary School,English,230 Base Line,London,N6J1W1,529,42.95854,-81.27723,42.7,11.7,21.9,SP,1,10,0.23,0.71,10,30.77,4.09
Thames Valley DSB,954551,Woodstock Collegiate Institute,English,35 Riddell,Woodstock,N4S6L9,574,43.13151,-80.7577,SP,NA,17.9,2.8,0.52,-18,0.37,0.82,6,16.29,4.67
Thunder Bay CDSB,798193,St Ignatius High School,English,285 Gibson,Thunder Bay,P7A2J6,1189,48.45321,-89.19637,1.9,SP,8.9,SP,0.88,1,0.68,0.78,-7,17.78,8.46
Thunder Bay CDSB,687111,St Patrick High School,English,621 South Selkirk,Thunder Bay,P7E1T9,1093,48.37506,-89.26013,2.2,SP,13.4,SP,0.82,9,0.42,0.76,-12,19.69,4.39
Thunder Bay CDSB,863657,TB Catholic Alternative Education,English,621 South Selkirk,Thunder Bay,P7E1T9,NA,48.375143964,-89.260773973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto CDSB,689360,Bishop Allen Academy Catholic Secondary School,English,721 Royal York,Toronto,M8Y2T3,1540,43.634,-79.50543,30.7,1.5,24.5,10.9,0.84,-6,0.39,0.91,-5,18.34,14.7
Toronto CDSB,691798,Bishop Marrocco/Thomas Merton Catholic Secondary School,English,1515 Bloor,Toronto,M6P1A3,888,43.65644,-79.45194,54.3,10.5,33.7,SP,0.73,-7,0.46,0.61,-5,27.52,5.27
Toronto CDSB,685550,Blessed Archbishop Romero Catholic Secondary School,English,99 Humber,Toronto,M6L2H4,755,43.68057,-79.48169,52.2,10.6,32.1,SP,0.78,-10,0.32,0.7,-2,28.2,3.57
Toronto CDSB,694193,Blessed Cardinal Newman Catholic School,English,100 BRIMLEY,SCARBOROUGH,M1M3X4,1200,43.715,-79.23919,28.3,3.2,20.4,2.2,0.73,-4,0.33,0.83,-4,26.15,11.46
Toronto CDSB,690961,Brebeuf College School,English,211 Steeles,Toronto,M2M3Y6,1015,43.80172,-79.40291,46.5,11.1,22.2,2.7,0.82,6,0.48,0.74,-4,26.56,19.65
Toronto CDSB,694550,Cardinal Carter Academy for the Arts,English,36 Greenfield,Toronto,M2N3C8,676,43.76381,-79.40968,22.9,1.6,18,8.9,0.92,3,N/R,0.97,2,22.59,18.95
Toronto CDSB,695947,Chaminade College School,English,490 Queen's,Toronto,M6L1M8,913,43.70979,-79.49579,27.3,3,22.2,4.6,0.9,16,0.32,0.8,4,23.45,3.95
Toronto CDSB,702935,Dante Alighieri Academy,English,60 Playfair,Toronto,M6B2P9,1015,43.71017,-79.45802,55.1,15.8,27.4,SP,0.68,4,0.38,0.74,0,25.29,4.09
Toronto CDSB,703184,Don Bosco Catholic Secondary School,English,2 St Andrew's,Toronto,M9R1V8,287,43.70115,-79.54979,35.9,16,29.3,SP,NA,NA,NA,N/D,NA,34.38,8.22
Toronto CDSB,707589,Father Henry Carr Catholic Secondary School,English,1760 Martin Grove,Toronto,M9V3S4,949,43.73616,-79.5916,33.3,19.9,16.3,SP,0.67,7,0.86,0.67,1,34.48,13.53
Toronto CDSB,731951,Father John Redmond Catholic Secondary School,English,28 Colonel Samuel Smith Park,Toronto,M8V4B7,1153,43.59459,-79.51625,27.8,2,28.4,9.9,0.94,4,0.64,0.9,-6,19.35,10.17
Toronto CDSB,707708,Francis Libermann Catholic High School,English,4640 Finch,Toronto,M1S4G2,875,43.80674,-79.27423,35.3,5.8,25.3,6.2,0.95,14,0.46,0.76,-10,28.61,15.54
Toronto CDSB,723096,James Cardinal McGuigan Catholic High School,English,1440 Finch,Toronto,M3J3G3,819,43.76319,-79.49302,43.8,27.1,23.8,SP,0.96,0,0.48,0.59,-11,33.63,6.34
Toronto CDSB,723428,Jean Vanier Catholic Secondary School,English,959 Midland,Toronto,M1K4G4,1000,43.73783,-79.25952,49,22,18,SP,0.76,-10,0.35,0.72,-3,31.21,10.63
Toronto CDSB,728055,Loretto Abbey Catholic Secondary School,English,101 Mason,Toronto,M5M3E2,956,43.74088,-79.4111,28.9,3.7,12.1,3.9,0.85,1,0.32,0.89,-5,21.33,16.85
Toronto CDSB,728063,Loretto College School,English,151 Rosemount,Toronto,M6H2N1,515,43.6648,-79.41109,55.7,9.3,21.6,SP,0.65,-10,0.21,0.7,-5,25.33,3.46
Toronto CDSB,729019,Madonna Catholic Secondary School,English,20 Dubray,Toronto,M3K1V5,688,43.72903,-79.47782,44.3,23,22.2,SP,0.89,10,0.31,0.71,-11,27.71,6
Toronto CDSB,730653,Marshall McLuhan Catholic Secondary School,English,1107 Avenue,Toronto,M5N3B1,1009,43.70771,-79.41009,54.8,9.2,21.4,2.1,0.72,-10,0.48,0.81,-5,25.07,8.55
Toronto CDSB,730882,Mary Ward Catholic Secondary School,English,3200 Kennedy,Toronto,M1V3S8,1066,43.81339,-79.30265,43.1,3.7,18.3,7.7,0.77,-11,0.37,0.94,4,27.6,16.27
Toronto CDSB,731820,Michael Power/St Joseph High School,English,105 Eringate,Toronto,M9C3Z7,1995,43.66014,-79.58226,30,2.8,22.3,6.2,0.87,-1,0.55,0.83,-7,19.73,14.51
Toronto CDSB,732443,Monsignor Percy Johnson Catholic High School,English,2170 Kipling,Toronto,M9W4K9,969,43.7217,-79.57147,30,6.5,22.3,SP,0.65,1,0.38,0.69,-5,28.64,6.95
Toronto CDSB,733474,Msgr Fraser College (Alternate Study) Secondary School,English,700 Markham,Toronto,M6G2M3,220,43.66746,-79.41348,40,SP,35.9,SP,NA,NA,NA,N/D,NA,29,6.25
Toronto CDSB,748504,Msgr Fraser College (Midland North),English,100 Fundy Bay,Toronto,M1W3G1,123,43.8088145,-79.3166585,26.8,SP,26,SP,NA,NA,NA,N/R,NA,27.63,16.66
Toronto CDSB,722900,Msgr Fraser College (Midtown Campus),English,36 Eglinton,Toronto,M4R1A1,108,43.70664927,-79.39880353,33.3,NA,25,SP,NA,NA,NA,N/D,NA,26.25,14.8
Toronto CDSB,927830,Msgr Fraser College (Norfinch Campus),English,45 Norfinch,Toronto,M3N1W8,205,43.75748,-79.52743,46.3,28.3,28.3,NA,NA,NA,NA,N/R,NA,33.36,10.1
Toronto CDSB,784870,Msgr Fraser College (Northeast),English,11 Aspenwood,Toronto,M2H2G2,46,43.80728,-79.36276,28.3,SP,34.8,NA,NA,NA,NA,N/R,NA,29.22,SP
Toronto CDSB,743482,Msgr Fraser College (Southwest),English,30 Humbert,Toronto,M6J1M5,62,43.64601,-79.42114,48.4,SP,53.2,SP,NA,NA,NA,N/R,NA,29.85,SP
Toronto CDSB,802247,Msgr Fraser College (St. Martin Campus),English,55 Salisbury,Toronto,M4X1C5,23,43.6675,-79.36442,SP,NA,73.9,NA,N/R,NA,N/R,N/R,NA,SP,SP
Toronto CDSB,733490,Msgr Fraser Orientation Centre,English,146 Isabella,Toronto,M4Y1P6,NA,43.66705069,-79.41325608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto CDSB,680354,Msgr Fraser-Isabella,English,146 Isabella,Toronto,M4Y1P6,199,43.66967,-79.37684,59.8,40.2,23.6,NA,NA,NA,NA,N/D,NA,30.29,11.77
Toronto CDSB,685100,Msgr Fraser-Midland,English,2900 Midland,Toronto,M1S3K8,130,43.80105,-79.28541,50.8,31.5,33.1,SP,NA,NA,NA,N/D,NA,29.81,15.95
Toronto CDSB,734080,Neil McNeil High School,English,127 Victoria Park,Toronto,M4E3S2,868,43.67912,-79.2831,24,2.8,22.6,3.8,0.93,1,0.67,0.77,-12,24.69,13.03
